,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry
0,0,1090,220000,False,False,False,False,False,-1.8688509,34.78690679999992,algeria,
1,1,1265,400000,False,False,False,False,False,-0.902003199999987,35.089831500000024,algeria,
2,2,1655,220000,False,False,False,False,False,0.1462109,34.90904640000009,algeria,
3,3,2123,220000,False,False,False,False,False,3.3801723,36.35721340000003,algeria,
4,4,1658,220000,False,False,False,False,False,0.1466111,34.90880560000009,algeria,
5,5,2266,220000,False,False,False,False,False,4.0233072,36.365002,algeria,
6,6,1447,400000,False,False,False,False,False,-0.348011299999962,33.47748249999985,algeria,
7,7,1204,220000,False,False,False,False,False,-1.375547,35.23634870000017,algeria,
8,8,2234,220000,False,False,False,False,False,3.700425700000022,36.79313340000009,algeria,
9,9,1438,220000,False,False,False,False,False,-0.3652511,33.26736980000004,algeria,
10,10,2720,220000,False,False,False,False,False,6.214081500000029,36.715856900000176,algeria,
11,11,2737,220000,False,False,False,False,False,6.2522078,35.488495,algeria,
12,12,3306,220000,False,False,False,False,False,7.734858799999984,36.78926760000015,algeria,
13,13,2122,220000,False,False,False,False,False,3.3764094,36.697401800000094,algeria,
14,14,2370,220000,False,False,False,False,False,4.7479197,36.57454059999978,algeria,
15,15,1246,220000,False,False,False,False,False,-1.0206726,35.416856499999966,algeria,
16,16,2201,220000,False,False,False,False,False,3.594491,36.43539,algeria,
17,17,2485,220000,False,False,False,False,False,5.4124685,34.74824090000013,algeria,
18,18,2014,220000,False,False,False,False,False,2.95985230000002,34.62034769999997,algeria,
19,19,3326,220000,False,False,False,False,False,7.891762899999982,35.867852,algeria,
20,20,1993,220000,False,False,False,False,False,2.8852513,36.59279859999978,algeria,
21,21,1953,220000,False,False,False,False,False,2.84685740000001,36.534088999999724,algeria,
22,22,2186,220000,False,False,False,False,False,3.574785600000019,36.249191100000104,algeria,
23,23,3001,220000,False,False,False,False,False,6.932793499999984,36.72064290000012,algeria,
24,24,1422,220000,False,False,False,False,False,-0.3880961,35.54366359999997,algeria,
25,25,3394,400000,False,False,False,False,False,8.098036699999986,36.68020089999988,algeria,
26,26,2030,220000,False,False,False,False,False,3.1344626,36.69958219999978,algeria,
27,27,2084,220000,False,False,False,False,False,3.2714493,36.72716,algeria,
28,28,1200,220000,False,False,False,False,False,-1.4123791,35.21730139999996,algeria,
29,29,1923,220000,False,False,False,False,False,2.838976299999984,36.64915909999981,algeria,
30,30,2795,400000,False,False,False,False,False,6.336751,36.2471832000002,algeria,
31,31,2652,220000,False,False,False,False,False,6.0213159,31.760813,algeria,
32,32,1669,220000,False,False,False,False,False,0.1737868,35.384902,algeria,
33,33,1082,225000,False,False,False,False,False,-1.9167263,34.70544940000002,algeria,
34,34,3019,220000,False,False,False,False,False,6.949838699999987,36.72005680000012,algeria,
35,35,1493,220000,False,False,False,False,False,-0.1925166,35.76908019999995,algeria,
36,36,2126,220000,False,False,False,False,False,3.3838063,36.727185000000105,algeria,
37,37,1705,220000,False,False,False,False,False,0.6502683,35.451705599999805,algeria,
38,38,1975,220000,False,False,False,False,False,2.848468599999987,36.53423139999973,algeria,
39,39,1396,400000,False,False,False,False,False,-0.4711194,35.72026699999982,algeria,
40,40,2188,220000,False,False,False,False,False,3.5750738,36.243499500000105,algeria,
41,41,3354,220000,False,False,False,False,False,7.900674099999976,36.30237409999999,algeria,
42,42,1939,220000,False,False,False,False,False,2.839813699999984,36.64909899999981,algeria,
43,43,2667,220000,False,False,False,False,False,6.0220033,31.760933600000026,algeria,
44,44,2733,400000,False,False,False,False,False,6.249474600000053,36.73112019999996,algeria,
45,45,2753,220000,False,False,False,False,False,6.3039852,35.48809,algeria,
46,46,2839,220000,False,False,False,False,False,6.5208869,36.050685800000245,algeria,
47,47,2127,220000,False,False,False,False,False,3.3841355,36.692844299999976,algeria,
48,48,1331,220000,False,False,False,False,False,-0.8197126,35.608006099999855,algeria,
49,49,2701,220000,False,False,False,False,False,6.1785003,35.56865979999993,algeria,
50,50,3273,220000,False,False,False,False,False,7.637656699999974,36.302964199999984,algeria,
