,id,lonlat,tags.power,tags.substation,Type,Area,tags.voltage,tags.frequency,Country
49,593521765.0,"[2.5980285691417087, 36.5709908500754]",substation,yes,Way,80920.0,,,algeria
54,217970970.0,"[5.712311188143594, 34.877065255836534]",substation,transmission,Way,114730.0,220000;66000,50,algeria
56,381266479.0,"[-0.5255971612917628, 35.73831458486468]",substation,,Way,17980.0,,,algeria
57,381720324.0,"[1.3036058173863163, 35.325946883850236]",substation,,Way,6240.0,,,algeria
62,317645796.0,"[6.780843181471249, 33.30665708788317]",substation,transmission,Way,85870.0,220000;66000,50,algeria
64,374731053.0,"[2.629217081396658, 36.47602299913078]",substation,,Way,14290.0,,,algeria
96,381266501.0,"[-0.3320084251344168, 35.83950203811625]",substation,,Way,19550.0,,,algeria
97,385974252.0,"[7.153293849999976, 36.73924030000002]",substation,,Way,6120.0,,,algeria
121,382952432.0,"[3.699990065962661, 32.44296459864899]",substation,,Way,4180.0,,,algeria
122,426923403.0,"[5.682454852249589, 36.14031782594155]",substation,,Way,4390.0,,,algeria
129,381467892.0,"[0.39751128925192647, 36.091465052055725]",substation,,Way,11690.0,60000,,algeria
142,254853839.0,"[3.9503351996912333, 36.33643156734733]",substation,transmission,Way,69850.0,220000,,algeria
145,925286546.0,"[4.522772149999991, 35.694942750000024]",substation,,Way,22610.0,,,algeria
147,97512985.0,"[2.920226441444512, 36.59199533924101]",substation,,Way,43560.0,60000,,algeria
148,703227582.0,"[5.538565021439757, 22.807725091676406]",substation,,Way,16050.0,,,algeria
149,310628318.0,"[5.06931045000002, 34.43205680000042]",substation,,Way,40.0,30000,50,algeria
151,377968312.0,"[-0.5824294394703189, 34.73219484138281]",substation,transmission,Way,17480.0,,,algeria
153,533163474.0,"[6.982630706902727, 34.50483341084848]",substation,transmission,Way,34560.0,220000,,algeria
157,340227647.0,"[1.1906079892115018, 36.20153634423779]",substation,,Way,67950.0,,,algeria
162,291847439.0,"[5.227349075487016, 31.753905832368773]",substation,,Way,5060.0,,,algeria
170,376298283.0,"[5.427447284527189, 36.18952776235695]",substation,,Way,26600.0,66000,,algeria
174,381738901.0,"[1.499466127721944, 35.3761993319455]",substation,,Way,3080.0,,,algeria
176,364421786.0,"[6.06274359823368, 33.12601785800864]",substation,,Way,34670.0,220000,,algeria
178,476089475.0,"[2.510073518532957, 27.1796954519859]",substation,,Way,1440.0,,,algeria
184,293224489.0,"[8.084914494820044, 30.271751089852994]",substation,,Way,23030.0,220000;66000,,algeria
185,499184356.0,"[4.542273899999997, 35.702109200000095]",substation,,Way,50.0,,,algeria
190,575738414.0,"[6.678399615690517, 34.749449384761775]",substation,transmission,Way,85290.0,220000;66000,,algeria
200,253693679.0,"[3.3419098254193997, 36.73560473682322]",substation,,Way,2410.0,,,algeria
202,206847211.0,"[1.8888380743621838, 36.24884154802816]",substation,transmission,Way,91710.0,220000,,algeria
205,695523470.0,"[5.089565707769777, 35.64268489785848]",substation,,Way,14210.0,66000,,algeria
208,653738025.0,"[-0.6332499706388962, 35.21970830551328]",substation,transmission,Way,1910.0,,,algeria
211,449083140.0,"[6.050282354790974, 36.45087020771605]",substation,,Way,370.0,,,algeria
212,759929379.0,"[5.48599413305342, 36.16267909582507]",substation,,Way,21570.0,,,algeria
214,670880996.0,"[5.308416450000013, 34.61828264999992]",substation,transformer,Way,22150.0,60000,50,algeria
216,611220831.0,"[3.606247863773214, 36.67914857428082]",substation,,Way,19010.0,,,algeria
218,245562205.0,"[2.980188045996996, 36.7491212265825]",substation,,Way,4870.0,,,algeria
219,382871654.0,"[2.6714108784145933, 33.87851056164233]",substation,,Way,850.0,,,algeria
225,381517754.0,"[-0.3305004999999988, 33.46821884999979]",substation,,Way,18690.0,,,algeria
227,107649691.0,"[2.8490092643954306, 36.533815032079744]",substation,transmission,Way,65600.0,220000;60000,,algeria
228,574859222.0,"[1.486320536303685, 36.191053736880775]",substation,transmission,Way,208090.0,,,algeria
230,936350097.0,"[0.6119232350902803, 35.94214965507969]",substation,transmission,Way,147940.0,,,algeria
233,172698243.0,"[2.5700488715018213, 36.50622754105575]",substation,,Way,85170.0,,,algeria
240,695610585.0,"[8.177949175532136, 35.17379977045495]",substation,,Way,1750.0,90000,,algeria
242,377722140.0,"[1.4666511973109608, 35.167194569402106]",substation,transmission,Way,13130.0,,,algeria
245,380786701.0,"[-1.4185149257224892, 35.238050812814876]",substation,transmission,Way,1700.0,,,algeria
246,302432566.0,"[9.786951400000014, 28.738698299999886]",substation,converter,Way,1020.0,66000,50,algeria
247,189766299.0,"[2.704573316964946, 36.292239691982836]",substation,,Way,37900.0,,,algeria
249,381266488.0,"[-0.19709089238653543, 35.797500622066]",substation,,Way,3170.0,,,algeria
251,462761963.0,"[5.901719213714486, 35.79210977372933]",substation,,Way,4010.0,,,algeria
253,382952435.0,"[3.6615243480959476, 32.476758380087745]",substation,,Way,1100.0,,,algeria
256,549255320.0,"[-1.6207803761441257, 34.99635114832661]",substation,transmission,Way,189010.0,,,algeria
257,261548265.0,"[4.627257089837077, 36.555166769025924]",substation,,Way,20000.0,,,algeria
261,381266510.0,"[-0.5335474707281658, 35.62740305834128]",substation,,Way,16370.0,,,algeria
262,221085150.0,"[3.574875141196996, 36.25090712659075]",substation,transmission,Way,241710.0,400000;220000,,algeria
264,174338936.0,"[0.5410050196047667, 35.78263600517236]",substation,transition,Way,2350.0,,,algeria
