,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,geometry,country
0,221085150-1,,400000,False,substation,True,transmission,241710.0,3.574875141196995,36.25090712659074,POINT (3.574875141196995 36.25090712659074),algeria
1,221085150-2,,220000,False,substation,True,transmission,241710.0,3.574875141196995,36.25090712659074,POINT (3.574875141196995 36.25090712659074),algeria
3,751040071-1,,400000,False,substation,True,transmission,120930.0,-0.168282199999985,35.76629409999999,POINT (-0.168282199999985 35.76629409999999),algeria
4,751040071-2,,220000,False,substation,True,transmission,120930.0,-0.168282199999985,35.76629409999999,POINT (-0.168282199999985 35.76629409999999),algeria
5,383755661-1,,220000,False,substation,True,transmission,26420.0,6.021864684247905,31.760654860631895,POINT (6.021864684247905 31.7606548606319),algeria
6,317645604-1,,220000,False,substation,True,transmission,53690.0,5.411504066584994,34.74790461369921,POINT (5.411504066584994 34.74790461369921),algeria
7,575738414-1,,220000,False,substation,True,transmission,85290.0,6.678399615690496,34.749449384761554,POINT (6.678399615690496 34.74944938476155),algeria
9,217970970-1,,220000,False,substation,True,transmission,114730.0,5.712311188143599,34.87706525583647,POINT (5.712311188143599 34.87706525583647),algeria
11,226912498-1,,400000,False,substation,True,transmission,129220.0,7.362599318178858,35.76320213645863,POINT (7.362599318178858 35.76320213645863),algeria
12,226912498-2,,220000,False,substation,True,transmission,129220.0,7.362599318178858,35.76320213645863,POINT (7.362599318178858 35.76320213645863),algeria
13,226886714-1,,220000,False,substation,True,transmission,23610.0,5.372428775748287,35.34846375188343,POINT (5.372428775748287 35.34846375188343),algeria
15,174347010-1,,220000,False,substation,True,transmission,99120.0,1.198816197746305,36.086828669976995,POINT (1.198816197746305 36.086828669977),algeria
16,387845900-1,,220000,False,substation,True,transmission,54790.0,7.171891971654895,35.461405314137494,POINT (7.171891971654895 35.46140531413749),algeria
18,107649691-1,,220000,False,substation,True,transmission,65600.0,2.849009264395441,36.53381503207973,POINT (2.849009264395441 36.53381503207973),algeria
20,174338940-1,,220000,False,substation,True,transmission,34250.0,0.173827677599402,35.38502909968701,POINT (0.173827677599402 35.38502909968701),algeria
21,93235592-1,,220000,False,substation,True,transmission,80000.0,-1.862677064482072,35.08641701531425,POINT (-1.862677064482072 35.08641701531425),algeria
22,206847211-1,,220000,False,substation,True,transmission,91710.0,1.888838074362187,36.24884154802814,POINT (1.888838074362187 36.24884154802814),algeria
23,173682343-1,,400000,False,substation,True,transmission,239320.0,-0.900940499999987,35.08920825000013,POINT (-0.900940499999987 35.08920825000013),algeria
25,226392269-1,,400000,False,substation,True,transmission,180870.0,5.315668097343188,35.84362255269053,POINT (5.315668097343188 35.84362255269053),algeria
26,226392269-2,,220000,False,substation,True,transmission,180870.0,5.315668097343188,35.84362255269053,POINT (5.315668097343188 35.84362255269053),algeria
28,173534563-1,,220000,False,substation,True,transmission,134200.0,7.736220197617386,36.78961384587901,POINT (7.736220197617386 36.78961384587901),algeria
29,694000747-1,,400000,False,substation,True,transmission,226640.0,6.305243247837828,35.492393414838666,POINT (6.305243247837828 35.49239341483867),algeria
30,694000747-2,,220000,False,substation,True,transmission,226640.0,6.305243247837828,35.492393414838666,POINT (6.305243247837828 35.49239341483867),algeria
31,173985842-1,,220000,False,substation,True,transmission,94760.0,-0.192326698612495,35.76875051613157,POINT (-0.192326698612495 35.76875051613157),algeria
32,107574175-1,,220000,False,substation,True,transmission,54790.0,3.384622541387728,36.72704942077627,POINT (3.384622541387728 36.72704942077627),algeria
33,254853839-1,,220000,False,substation,True,transmission,69850.0,3.950335199691226,36.33643156734738,POINT (3.950335199691226 36.33643156734738),algeria
34,226985195-1,,220000,False,substation,True,transmission,113280.0,3.246818526501281,34.62016184201863,POINT (3.246818526501281 34.62016184201863),algeria
35,610844609-1,,400000,False,substation,True,transmission,302000.0,2.961674329987272,35.43615022546011,POINT (2.961674329987272 35.43615022546011),algeria
36,610844609-2,,220000,False,substation,True,transmission,302000.0,2.961674329987272,35.43615022546011,POINT (2.961674329987272 35.43615022546011),algeria
37,173670736-1,,220000,False,substation,True,transmission,58270.0,2.240954767758323,36.260068310614976,POINT (2.240954767758323 36.26006831061498),algeria
38,173677993-1,,220000,False,substation,True,transmission,159670.0,-0.472185604687833,35.72094075889925,POINT (-0.472185604687833 35.72094075889925),algeria
39,686568829-1,,220000,False,substation,True,transmission,3550.0,6.934698397228838,36.879396810073665,POINT (6.934698397228838 36.87939681007366),algeria
40,569616471-1,,400000,False,substation,True,transmission,216410.0,5.993802369612078,34.70104787202113,POINT (5.993802369612078 34.70104787202113),algeria
41,569616471-2,,220000,False,substation,True,transmission,216410.0,5.993802369612078,34.70104787202113,POINT (5.993802369612078 34.70104787202113),algeria
