,id,lonlat,tags.power,tags.branch,tags.operator,tags.manufacturer,tags.generator:type,tags.generator:method,tags.generator:source,power_output_MW,tags.source,tags.generator:alt_source,tags.name,tags.name:fr,Type,tags.operator:ar,tags.operator:wikidata,tags.operator:wikipedia,tags.addr:city,tags.generator:place,tags.addr:city:ar,tags.area,tags.building:levels,tags.fence_type,tags.plant:source,tags.height,tags.substation,Country,tags.manufacturer:type,tags.ref,tags.FIXME,tags.addr:village,tags.tag:power,tags.amenity,tags.X,tags.Y,tags.code,tags.etat,tags.type,tags.photo,tags.village,tags.maitre_ouv,tags.note,tags.short_name,tags.contact:phone,tags.source:date,tags.project:eurosha_2012,tags.man_made,tags.operator_type,tags.generator:output:steam,tags.generator:output:vacuum,tags.generator:output:battery_charging,tags.beds,tags.owner,tags.shower,tags.toilets,tags.heliport,tags.population,tags.wheelchair,tags.operator:type,tags.building:status,tags.population:date,tags.staff_count:nurses,tags.is_in:health_level6,tags.is_in:health_level8,tags.staff_count:chemist,tags.staff_count:doctors,tags.health_services:description,tags.content,tags.toilets:status,tags.communication:description,tags.water_source,tags.water_tap:operator,tags.shower:status,tags.url,tags.url_1,tags.source:geometry,tags.source:geometry:date,tags.layer,tags.healthcare,tags.website,tags.location,tags.construction,tags.description,tags.voltage,tags.lit,tags.generator:output:biogas,tags.plant:output:electricity,tags.addr:district,tags.addr:pobox,tags.email,tags.opening_hours,tags.phone,tags.recycling:food_waste,tags.recycling:green_waste,tags.recycling_type,tags.start_date,tags.addr:suburb,tags.addr:community,tags.addr:state,tags.addr:street,tags.building:material,tags.operational_status,tags.projet:eboci,tags.name:de,tags.name:en,tags.wb_pb:id,tags.image:project,tags.image:pointofinterest,tags.generator:output:hot_air,tags.generator:output:cold_air,tags.generator:output:hot_water,tags.generator:output:cold_water,tags.generator:output:compressed_air,tags.comment,tags.building:roof,tags.landuse,tags.image,tags.mapillary,tags.int_name,tags.designation,tags.ele,tags.rotor:diameter,tags.rooms,tags.stars,tags.tourism,tags.payment:visa,tags.internet_access,tags.payment:mastercard,tags.project:mappingforniger,tags.brand,tags.addr:housename,tags.addr:postcode,tags.addr:housenumber,tags.generator,tags.name:cn,tags.model,tags.manufacturer:website,tags.wikidata,tags.wikipedia,tags.national_key_point,tags.reipppp,tags.colour,tags.power:source,tags.shop,tags.addr:ward,tags.addr:subward,tags.addr:municipality,tags.generator:output:heat,tags.generator:plant,tags.operator:website,tags.operator:wikipedia:ar,tags.addr:settlement,tags.addr:sub_camp,tags.addr:zone,tags.denomination,tags.religion,tags.source:form,tags.place,tags.source_ref,tags.proposed,tags.addr:block,tags.isced,tags.lighting,tags.tree_count,tags.name_centre,tags.social_facility,tags.social_facility:for,tags.plant:method
1,6424706867.0,"[6.04965360000001, 31.788158099999944]",generator,,,,gas_turbine,combustion,gas,24.0,,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7781383829.0,"[6.022401400000006, 31.762775799999975]",generator,,,,gas_turbine,combustion,gas,23.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7781384593.0,"[0.25803390000000503, 29.245736999999924]",generator,,,,gas_turbine,combustion,gas,23.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7781384732.0,"[3.0813700000000077, 36.74930389999995]",generator,,,,gas_turbine,combustion,gas,24.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7781384712.0,"[6.751211300000008, 33.27391049999996]",generator,,,,gas_turbine,combustion,gas,23.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7718822019.0,"[3.7010085000000124, 36.85018730000004]",generator,,,,combined_cycle,combustion,gas,377.0,,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7781384729.0,"[5.876878200000008, 36.81422799999995]",generator,,,,steam_turbine,combustion,gas,196.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7781384616.0,"[-0.04924669999999494, 28.45181819999993]",generator,,,,gas_turbine,combustion,gas,24.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5768871245.0,"[0.540851299999995, 35.78339789999988]",generator,,,,gas_turbine,combustion,gas,155.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6426446539.0,"[2.877744700000001, 36.59685549999966]",generator,,,,gas_turbine,combustion,gas,235.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
